职位名称,薪资,工作地点,公司名称,任职要求,学历要求,招聘人数,发布时间
物流专员,7000-10000元,湖州,浙江京鸿供应链管理有限公司,我们正在寻找一位专业的物流专员，负责区域的派送任务 工作内容： 1. 负责部分区域的派送任务 岗位要求： 1. 大专及以上学历，物流、供应链相关专业优先； 2. 1-3年物流相关领域工作经验； 3. 熟悉物流操作流程及相关法律法规； 4. 良好的沟通能力和解决问题的能力； 5. 责任心强，有团队精神。,学历不限,1,更新于 12月29日
卡旺卡下午茶 7000+ 提供住宿,7000-11000元,合肥蜀山区,安徽泰盈信息科技有限公司,"公司直招 非中介
工作内容：主要是负责公司后台岗位，轻松无压力，可无经验
上班时间：早九晚六，月休5-6天，法定节假日休息
薪资福利：新人5000-6000，转正9000+，享受假期福利待遇：五险一金 餐补 生日福利",学历不限,10,更新于 12月25日
高级管理职位,5000-10000元,丽水,新华人寿保险股份有限公司丽水中心支公司,【新华保险丽水中心支公司招聘】 新华保险近年成绩亮眼。2024年红利实现率132.6%、近五年均值156.1%，高居行业前列；营收、净利润等核心指标高速增长，A股H股涨幅领跑同业。投资实力强劲，斩获多项行业大奖，综合偿付能力充足，理赔服务优质，同时积极践行社会责任，以国企担当交出优异答卷。现面向社会招聘优秀人员： 1.招聘要求：22—55周岁，大专以上学历，特别优秀者可适当放宽条件 2.品行端正，无不良嗜好，有营销从业经验者优先 3. 工作内容： ①每日8:30-10:30学习保险产品及金融专业知识 ②参加公司举办的各类型活动 ③每日做好客户档案记录 ④为客户提供家庭资产配置、保障规划的建议 ⑤提供保险咨询服务，根据客户需求定制保险计划 4.新人待遇：底薪3000+以上（10000-20000不等） 首年双佣+创业津贴+WLP培训支持 5.公司福利：国家法定假日+双休+度假补贴+养老补贴 上班地点：丽水市区或遂昌县（其他地区可面谈）,高中,1,更新于 12月24日
苏州昆山就近安排过年留守2000+急急招超市分拣员,7000-8000元,苏州昆山市,叮咚买菜,"每月12号发上月工资
工作内容：
1、负责店内的物品陈列，比如水果蔬菜日用的摆放陈列，负责叮咚买菜门店的定期巡场，记录并反馈陈列实施的效果。负责产品的现场打包：海带、山药、冬瓜等；
2、负责保持分拣陈列区、打包区卫生的干净整洁以及整体站内卫生；
3、货品的及时补充及摆放陈列；
4、分拣过程中注意事项的严格把控以及整体分拣时长的严格把控；
5、负责店铺日常陈列维护和调整，配合新产品上市和店铺陈列，商铺上架陈列；
福利待遇：
1、提供工龄津贴、为员工免费缴纳商业保险。
2、叮咚为直营站点，站长全部从一线岗晋升上来，发展空间大。
招聘要求：
1、18-35周岁，能吃苦耐劳。
2、有良好的服务意识，服从管理，无征信问题。
3、需要办理健康证
各区域人员需求量不一致，具体的面试时间及岗位招聘详情可以咨询相关招聘专员。",学历不限,1,更新于 12月24日
车险续保客服+五险一金（日照东港区）,4000-8000元,日照东港区,阳光财产保险股份有限公司6,"工作时间：早上8点30-12点 下午1点30-6点 双休 法定节假日都休息
发薪日：每个月固定10号 如遇到节假日提前发放
岗位职责：
1) 公司提供稳定且优质的客户资源，通过电脑智能外呼系统联系客户，进行车险续期业务的开展；
2) 室内办公环境，全天空调，环境优美，无需外出，无需资源；
3) 产品是车险！属于刚需！公司提供稳定且优质资源！销售难度低！收入稳定！
任职要求：
1) 18周岁-40周岁；
2) 具有一定沟通表达能力，普通话标准，音质佳，亲和力较好；
3) 勤奋踏实，热爱销售工作，有销售、客服相关工作经验者优先；
4) 反应灵敏，逻辑思维表达能力较强，同时具备一定抗压能力，稳定性强；
5) 身体健康。
薪资：
1) 岗前培训期：面试通过后参加6个工作日的带薪培训，享受培训津贴50元/天；
福利：
1)签订集团正式劳动合同（无外包、无派遣）；
2)享有社保及公积金（五险一金）；
3)无需外出拓展客户，无需客户资源；
4)室内办公（环境优美）；
5)正常行政班（无夜班无倒班）；
6)完善的培训体系，每三个月就有一次升职加薪；
7)定期举办丰富的团建活动；
8)法定节假日，29天带薪假期（年假、婚假、病假、产假）；
9)节日福利
10) 长期服务奖最高6000元/年，父母赡养津贴最高6000元/年，星光奖最高9600元/年；
没有经验没关系！！！我们没有试用期的！ 面试通过后会有为期6个工作日的带薪培训 培训结业后签订阳光保险集团劳动合同 公司是中国500强企业 我们有完整的培训体系和专业的培训教练 并且有团队主管带！！！",学历不限,3,更新于 1月2日
行政专员-北京,6000-10000元,北京大兴区,康龙化成,"岗位职责：
1、公司电话总机的接听与转接，做好来电咨询与重要信息的记录工作；
2、员工考勤及其相关工作；
3、来访人员的接待与引导，包括咨询来访者意图，对来访客人做好接待、登记、引导，安排洽谈地点，及时通知被访人员，对无关人员、上门推销和无理取闹者应礼貌拒绝；
4、做好北京园区与各分公司之间的物品转换工作；
5、做好本组文件、资产说明书、资料、记录的保管与定期归档工作；
6、负责公司通讯录、车辆维修保养记录等文件的更新工作；
7、负责员工信件的二次统计与收发；
8、负责行政部文件、合同等资料的存档管理；
9、负责公司客户日常到访的相关接待工作，确保会议顺利进行；
10、协助制订并完善接待管理规范及流程，建立重要客户来访档案；
11、负责定期对园区接待会议室、部门会议室、客用办公室进行盘点，汇总设备、设施等问题，与相关部门沟通解决；
12、负责公司员工公差及客户的票务、酒店预订，并将预订结果反馈给相关人员；
13、公司名片及各类印刷品的印制工作；
14、负责员工班车的正常运维及调度工作；
15、参与供应商的甄选工作，完成各项合同谈判及签订等后续工作；
16、协助完成接待库房的管理工作，定期盘点工作；
17、独立处理和解决所负责的各项任务，完成公司领导交办的其他工作任务。
任职要求：
1、本科或硕士学历，1年以上行政接待相关工作经验，英语沟通能力较好；
2、沟通能力良好，形象气质良好，具备一定的商务礼仪常识；
3、熟练使用常用办公软件与网络；熟练操作计算机、传真机等办公设备。",本科,1,更新于 今天
文件管理专员-武汉(J23304),6000-8000元,武汉江夏区,武汉药明康德新药开发有限公司,"岗位职责:
1. 负责各类档案的接收，整理，鉴定，分类，保管，借阅，销毁等档案全流程管理工作；
2. 负责按照档案库房相关制度要求，管理库房环境、安全及面积，保障公司档案安全妥善保存，库房面积有效利用；
3. 负责协助科研人员查询获取国内外文献，做好文献信息资源的开发利用工作；
4. 负责维护部门各内部系统在技术部门的应用；
5. 负责公司资质证照的跟踪管理及相关证照信息年检/审；
6. 负责公司印章的保管，使用管理；
7. 负责部门日常工作数据的分类，收集，汇总，处理，可视化输出；
8. 领导安排的其他工作。
任职要求:
1. 本科以上学历；档案、化学、药学等相关专业；有医药行业档案管理经验优先。
2. 责任心和执行力强，具有良好的团队精神，及沟通组织协调能力，
3. 能熟练使用Word、Excel、PPT等办公软件；
4.英语四级水平及以上。",本科,1,更新于 12月23日
260一天手机壳质检,7000-8000元,广州黄埔区,广东直聘网鸿旗信息科技有限公司,"工作内容：
1、岗位要求：16-55周岁，身体健康，勤劳认真，服从工厂管理；
2、薪资范围：底薪2300 综合7000-8500元/月，需入职正常体检
3、福利待遇：免费住宿4人间+社保+年终奖+工龄工资+绩效+技能补贴+旅游补贴 +车费补贴+六险一金，综合工资7000-8500；两班倒随机安排，上夜班有夜班补贴20元/晚，要体检，伙食补贴20元一天（现在入职充值饭卡，不需要带吃饭费用，带个人衣物就行）；
4、宿舍水电分摊一个月水电费在40元左右，4人间，公寓配备免费WI-FI、空调、洗衣机、娱乐室以及篮球、羽毛球等体育设施与器材；
5、年终奖：3000-7000元，根据入职月数、职级发放；
6、慰问金：100元（中国传统假节日，如端午、中秋、春节等）；
7、下午茶：每天下午免费供应面包、饮料、水果等；
8、文化活动：公司每月举办各类员工活动并提供丰厚物质奖励、月度工厂组织月度员工生日会，发放生日礼品；
9、工资发放：每个月准时15号发工资，工资卡自己本人提供；
10、工作时间：根据生产安排，月休4天，六休一，两班倒，一个月倒一次；
11、上班时间：8：00-19：30、中途休息1个半小时左右，真正上班时间10个半小时左右",学历不限,200,更新于 12月30日
26届大学生储备,6000-10000元·13薪,芜湖鸠江区,芜湖长信科技股份有限公司,"关于长信
公司介绍
芜湖长信科技股份有限公司 成立于2000年4月，为股份制高新技术企业，2010年5月在创业板上市（股票代码：300088），为芜湖市***创业板上市企业。目前集团本部立足芜湖，分子公司分布在天津、重庆、东莞、赣州等地，集团职工20000人左右。经过二十余年的发展,公司已成为国内重要新型平板显示关键基础材料生产基地，生产经营规模在国内外同行业位居前列。
业务介绍
1、公司主营业务包括车载电子、超薄液晶显示面板、超薄玻璃盖板（UTG）、消费电子等业务领域。
2、车载电子业务板块：业务既涵盖为客户车载 sensor、车载 sensor 模组、车载盖板（2D 和 3D）、车载显示模组等关键元器件；同时也为客户提供仪表盘模组、后视镜模组及中控屏模组、B柱、抬头显、正副驾驶显示屏、扶手屏等车载触显一体化模组封装业务。 客户包括日系、欧系、 美系、德系品牌车商，覆盖了全球70%以上的车辆品牌。
3、公司减薄业务规模雄居国内***，市占率高，一直服务于国际、国内***端客户群体。其中：凭借高稳定性、高良率和成本优势赢得 Sharp、LGD、 BOE 的一致认可。
4、消费电子业务板块：涵盖 VR 显示模组业务、智能可穿戴模组和柔性OLED可穿戴触控显示模组业务、高端Notebook、Pad模组业务、手机触控显示模组及其全贴合业务。
职位类别：
1、 研发技术类
新型平板显示器材技术研发相关工作。
包括产品技术研发、产品工艺制定、研发项目管理、光学工程师等岗位。
2、品质管理类
产品品质管理相关工作。
包括生产过程品质管控、客户售后技术服务支持、供应商品质管理等岗位。
3、生产管理类
车间人、机、物、料、法、环的综合管理工作。
包括生产工艺、生产管理、环境安全、生产计划、工单管理、体系管理、培训管理等岗位。
4、技术工程类
产品、设备设计及自动化相关工作。
包括结构工程师、电子设计工程师、机械工程师、设备工程师、工艺工程师、电气工程师、品质工程师、系统工程师、IE工程师、ESD工程师、水处理工程师等岗位。
5、市场营销类
协助国际项目进度追进，保证项目顺利进行和客户订单交付。
包括销售业务、客户关系维护、项目管理等岗位。
专业要求：
电气类、机械类、自动化类、化学类（无机化学、有机化学、分析化学、化学工程与工艺）、材料类（材料科学与工程、材料化学、无机非金属材料、材料科学与工程、材料学、复合材料）、物理光学类（光学设计、光电信息与科学技术、光学工程）、工业工程、智能制造等理工科；日语、韩语、英语等语言类；工商管理、质量管理、市场营销等专业。
任职要求：
1、本科及以上毕业生，热爱新型触控显示行业；
2、具有良好的品德修养、身心健康；
3、认同企业文化，工作责任心强，具有良好的职业操守；
4、有较强的团队合作能力、沟通协调能力和学习创新能力。
大学生储备岗——星火计划储备人才培养：
【课程安排】新员工入职培训——拓展训练——职业化公开课——产品技术知识分享——关键性岗位轮岗学习 —内部双选定岗
【培养形式】岗位实践 专题讲座 总结分享
公司福利：
五险一金 带薪年休 节日福利 生日礼物 人才公寓 文体娱乐室 员工食堂 员工活动
长信学堂 师徒教学 培训机会 长信花园购房",本科,20,更新于 12月23日
销售储备干部+苏宁直签+未央路店,4000-8000元,西安未央区,陕西苏宁易购销售有限公司,"工作职责：
1、协助主管做好本部门销售及服务管理工作，积极完成公司下达的各项指标及任务；
2、维护客户关系，为客户提供专业咨询、了解和发掘客户需求及购买愿望，介绍自己产品的优点和特色，挖掘潜在客户；
3、协助主管做好新员工的带教工作，以及促销人员管理工作；
5、熟悉操作相关流程，正确引导顾客消费；
6、对负责的本区域产品进行现场布置；
7、具有良好的心态和抗压力能力
薪资构成：无责底薪+绩效考核+星级工资+餐补+销售/带单提成 综合4-8K（上不封顶）
工作地点：西安市区内各门店就近分配
工作时间：单休、节假日调休
晋升路径：储备→主管→店长
职位福利：五险一金（试用期开始缴纳）、餐补、带薪年假、节日福利、绩效奖金、通讯补助",学历不限,1,更新于 12月22日
法务专员,6000-8000元,天津北辰区,长荣集团,"工作职责：
一、核心法律事务处理
1. 合同审查与管理
2. 案件处置：参与或牵头处理公司涉及的各类诉讼、仲裁案件。
3. 法律咨询与支持：为公司各部门及管理层提供及时、准确的法律咨询。
二、合规体系建设与风险防控
1. 合规体系管理：参与制定、完善公司的法律合规管理制度、流程及标准。
2. 法律风险培训：参与规划并组织实施法律合规培训。
3. 法律研究：结合公司业务（如新能源、医疗健康、软件科技等）进行法律研究
任职要求
1、教育背景与资格：须具备国内985或211院校法学专业本科及以上学历。通过国家统一法律职业资格考试（A证）者优先。
2、专业能力：具备严谨的法律逻辑、扎实的文书功底与良好的沟通协调能力，能独立处理合同审查、法律研究、文书起草等常规法律事务。
3、业务理解力：能快速学习并理解集团旗下多元业务（如新能源、医疗健康、软件科技等）的商业逻辑与运营模式，具备将法律规范转化为业务语言和可行方案的能力。
4、职业特质：责任心强，抗压能力好，能适应快节奏、多任务的工作环境；对新兴业态抱有持续学习的热情，并愿意在企业法务方向长期发展。
5、经验背景：欢迎优秀应届毕业生申请，同时也欢迎具有企业法务或相关行业实践经验的人士加入。",本科,1,更新于 12月22日
26届美的集团安得智联美的星-物流管理,面议,青岛李沧区,广东美的制冷设备有限公司,"岗位职责
1、负责仓储管货物收发与结存管理；
2、负责线路设计与规划，推动仓配运作提效；
3、负责物流成本控制和优化，推动精益物流改善；
4、负责物流信息化需求提出及跟踪落实；
5、负责车辆调度与司机管理；
6、对运营全流程各项KPI达成效果和质量负责，对异常进行纠偏和改善，确保客户满意和用户口碑。
必备项：
1、本科及以上学历，英语四级及以上；
2、交通运输类、物流管理与工程类等相关专业。
加分项：
1、有物流行业实习经验或者行业头部企业实习经验。
2、在校为学生干部，有大型活动组织经验。",本科,10,更新于 12月26日
材料工程师,6000-10000元·13薪,芜湖鸠江区,安徽楚江科技新材料股份有限公司,"岗位职责：
1、负责集团各子公司产品质量的跟踪、分析;
2、负责集团各子公司技改与项目分析、评价与管理;
3、负责集团各产业板块战略发展方向的研究。
岗位要求：
1、金属材料相关专业，本科及以上学历；
2、薪资根据面试情况面议
职位福利：五险一金、绩效奖金、节日福利、免费班车、年底双薪、宿舍、工作餐",本科,1,更新于 12月22日
财务管培生,6000-8000元,杭州萧山区,杭萧钢构,"一、岗位职责：
1. 财务会计与核算：协助处理日常账务，审核费用报销与付款单据；参与月度、季度结账流程，确保账务及时准确；
2. 税务管理：协助增值税、企业所得税等税种的申报与缴纳；参与发票管理，学习税务合规要求；
3. 资金管理：学习现金流预测与监控；处理银行账户管理、付款操作等；
4. 成本管理与内部控制：参与成本核算、分摊与分析，了解成本结构；学习内部控制流程；
5. 其他：完成领导交办的其他工作。
二、要求：
1. 专业：本科及以上学历，财务类相关专业；
2. 素质：工作认真细心、有责任心；逻辑思维能力较好；",本科,1,更新于 12月22日
机械技师,6000-10000元,重庆江津区,重庆伟星新型建材有限公司,"岗位职责：
1、设备维护与保养: 协助设备主管完成核心生产设备的日常点检、定期保养与预防性维护工作；
2、故障处理与支持: 快速响应生产线设备异常，可以独立进行故障诊断、分析及应急处理，协助恢复生产，并记录完整的过程报告；
3、设备安装与调试: 参与新设备的安装、调试、验收工作，学习并掌握新设备的操作与维护要点；
4、技术资料管理:协助整理和维护设备技术档案操作规程、维护手册及备品备件清单；
5、持续改进:参与设备效率提升项目，针对设备存在的瓶颈和问题，提出合理的改善建议；
6、团队协作: 与生产、工艺、质量等部门紧密合作，共同解决生产过程中的设备相关问题。
任职要求：
1、统招本科及以上学历，机械、自动化、电气等相关专业；
2、良好的沟通协调技巧、语言表达能力；
3、掌握CAD绘图能力；
4、工作责任心强、原则性强；
5、有一定的设备管理经验者优先。",本科,2,更新于 12月22日
c#上位机开发工程师,5000-8000元,南通启东市,林洋能源,"岗位内容：
1. 参与C#项目的设计、开发和维护工作
2. 根据需求文档编写高质量的程序代码，并按时提交任务
3. 协作完成产品的测试、上线和后期维护等工作
4. 解决项目中遇到的问题并提出合理的优化方案
5. 处理日常文档汇总和问题跟踪等事宜
任职要求：
1. 熟练掌握C#编程语言
2. 熟悉数据库相关知识
3. 关注前沿技术动态，对软件开发工程有基本认识
4. 较强的学习和解决问题的能力，英语良好，具备良好的逻辑思维能力和沟通能力",本科,1,更新于 12月30日
销售应届生（2026届）,6000-11000元·14薪,惠州惠城区,惠州亿纬锂能股份有限公司,"一、工作内容：
1、负责开拓新能源商用车动力电池等市场业务，了解客户需求，开发新客户；
2、根据公司业绩指标，制定销售计划和客户开发方案，维护和开拓新销售渠道，完成业绩；
3、了解行业动态，负责行业的市场调研，市场信息的搜集整理，密切关注市场状况及竞争对手动态，针对市场变化进行销售策略的快速调整，针对行业挖掘客户需求，并提出相应营销策略供公司决策；
4、参与项目商务投标工作；
5、负责不定期拜访重点客户，维护客户关系，完成市场调研和开发。
二、任职要求：
1. 学历背景：本科及以上学历，机械类、材料类等相关专业优先；
2. 经验优先：有学生干部经验、相关实习经历优先；
3. 个人特质：开朗自信，具有韧劲；具备良好的思维逻辑，学习能力强；
4. 工作地点：广东惠州驻点办公，根据客户情况国内出差开展销售工作，具备出差频率。",本科,5,更新于 12月19日
推广助理（base上海）,7000-12000元,上海闵行区,珠海泰诺麦博制药股份有限公司,"该岗位需在学术推广岗位上轮岗3-6个月时间，接受再投递。
【岗位职责】
1、整合公司内部和外部采购数据，同时针对公司内外部客户进行有针对性的市场调研，开展分管区域的市场分析及市场洞察工作；
2、根据全国产品定位和市场策略，梳理分管区域的短、中、长期推广策略，制定相应的项目规划；
3、搭建并维护区域专家网络，培育不同层级讲者，建立与产品组的中央级讲者输送与反馈模式，并定期对专家进行维护和拜访；
4、搭建区域学术活动开展平台，与产品相关主流学协会/基金会保持合作；与第三方合作伙伴开展合作，如CRO平台、数字化营销平台等；
5、根据营销中心市场活动整体规划，结合区域预算，设计区域全年和季度市场项目，并负责执行和跟进，确保项目目标的达成；
6、对公司内部营销团队和对公司外部合作伙伴开展市场相关培训，如市场策略、项目宣贯、学术营销等；
7、实时监测区域市场动态和竞争对手的推广活动，定期总结项目经验教训，及时调整推广策略，为后续推广活动提供参考和改进方向；
8、上级交办的其他工作。
【任职资格】
1、本科以上学历，医药生物相关专业，可接受应届毕业生；
2、具备市场推广策划、项目执行、团队协作、数据分析和沟通能力，提升产品知名度；
3、了解推广渠道、营销策略、市场动态、消费者洞察及相关法律法规。
对产品相关医学和产品知识能快速学习掌握；
4、具有较强的责任心、进取心和人际交往能力、执行能力、客户服务能力，数据分析能力；
5、能够熟练运用Word、Excel、PPT等常用办公软件 ；",本科,1,更新于 12月25日
后台信息校对,6000-8000元,泰安岱岳区,合肥泰盈信息科技有限公司,"内部直招 接受小白
工作内容:主要是后台岗位，轻松无压力，可无经验，每天吹着空调舒舒
服服 入职有带薪培训
岗位职责
登录后台，呼出登记岗 室内办公，吹吹空调上上班，轻松无压力
三.薪资待遇
保底4000，转正员工平均工资7000元+，优秀员工月收入超10000元＋
福利待遇
1.入职带薪培训，培训当天办理入职手续，办理住宿手续
2.员工享受法定节假日，年假，病假，孕假，哺乳假，婚假，丧假，工伤假
3.提供住宿，交五险一金
4.舒适的工作环境，泰盈直招，工作内容，薪资，考核，晋升由总部直接管理
5.公寓式员工宿舍，配备独卫空调洗衣机热水器无线网
6.晋升机遇多
纵向：主管-中心经理-项目经理-项目总监-大区总监-总经理-总裁合伙人
横向：质检-培训-人事-行政-技术-项目",中专/中技,6,更新于 12月24日
禽料技术服务工程师,7000-10000元,孝感安陆市,海大集团,"岗位内容：
1. 设计、开发和实施科学的动物饲养方案。
2. 开发、测试和分析不同类型动物饲料的配方。
3. 研究营养素在不同动物中的代谢作用和需求。
4. 改进现有的饲养程序，推动营养和饲料研究的创新。
任职要求：
1. 具有动物营养或相关领域的硕士学士学位及以上学历。
2. 优秀的数据分析和解决问题的能力。
3. 拥有良好的沟通技巧和团队协作精神。",硕士,3,更新于 12月19日
化验员,6000-8000元,安庆怀宁县,安庆英科医疗有限公司,"岗位职责：
负责热电厂水样、煤样、油样等的采集和分析，确保化验结果准确可靠。
操作和维护化验室仪器设备，保证设备正常运行。
按照标准操作程序进行化验分析，记录和报告化验结果。
协助上级完成实验室质量控制和质量保证工作。
参与热电厂的环保监测和节能减排工作。
任职要求：
具备化学、环境监测等相关专业的大专及以上学历。
熟悉水样、煤样、油样等的化验分析方法，具有2年以上热电厂化验工作经验，优秀本科应届生也可接受。
具备化学分析和仪器操作技能，持有相关化验员证书。",本科,1,更新于 12月31日
保底6000//包食宿//甲方优质岗位,7000-14000元·13薪,南昌红谷滩区,深圳乐信软件技术有限公司,"新人保底6000、保底6000.,均薪8000+
园区有新宿舍，新宿舍，新宿舍
包晚餐
备注：
本岗位是乐信集团直招岗位，入职即签正式合同，享受正式员工福利待遇，入职交五险一金，10号发薪底薪绩效一起发，综合收入8000-12000.
岗位职责：
1. 对内部平台的逾期客户进行电话催收，提醒及时还款并告知正确的还款方式；
2. 达成回收率的指标，对高风险客户及时提出风险预警；
3. 保持与实地催收及法务催收的紧密联系。
任职要求：
1. 中专及以上学历，有催收、客服、电销、销售相关工作经验；
2. 普通话流利；谈判及沟通能力强，反应敏捷；适应严谨规范化的管理；
3. 熟练电脑操作及常用办公软件。
福利待遇：
1.入职就缴纳五险一金
2.工作时间：9:00--18:30（午休一小时），18:30-19:00休息，一般会加班到8点（加班到8点会有晚餐），月休4-6天，标准月休8天，没休到8天的按照1.5倍加班工作算；
3.薪资：新员工首月保底6k，次月保底5k，老员工8k-2w，top员工2w+。
综合月薪=无责底薪2800-6000+提点0.78%-13.9%（回款金额*提点）+加班费+月度激励，提成不排名，看个人能力，回款越高、薪资越高！！
新员工首月提成保护3200，次月提成保护2200，与实际提成对比取高值。",高中,10,更新于 今天
管培生（本科）,6000-8000元·13薪,淮安清江浦区,天鹏锂能技术(淮安)有限公司,"工作职责：
1、质量问题立项闭环:对品质问题进行表征，针对改善内容进行闭环确认;
2、质量数据分析:对生产数据进行整理分析，运用质量工具识别反馈潜在问题；3、标准文件编辑与培训:编写SIP 并对员工进行培训和指导;
4、生产过程监控:定期对生产现场进行巡检，监督生产过程中的质量控制活动；
任职资格（岗位要求）：
1、本科以上学历，接受近三年往届，理工科，熟悉办公软件；
2、具备优秀的沟通能力，要求有较强的学习能力和适应能力；
3、有风险识别能力和解决问题能力；",本科,1,更新于 12月18日
体检中心妇科医生,5000-10000元,沈阳和平区,沈阳和平奥亚医院有限公司,"我们正在寻找一位专业、细致、富有同理心的妇科医生，加入我们的体检中心团队。本岗位的核心职责是为客户提供高质量、私密、专业的妇科体检与健康咨询服务。您将不仅是疾病的筛查者，更是客户健康知识的传播者和健康管理的伙伴。我们期待您能以精湛的技术和温暖的服务，为客户提供卓越的就医体验。
1. 专业体检服务：
· 独立、规范地完成妇科常规检查（包括外阴、阴道、宫颈视诊及双合诊/三合诊）。
· 准确操作并解读妇科B超（经腹/经阴道）影像，或与超声医生紧密协作。
· 规范采集宫颈脱落细胞（TCT）、HPV等标本。",本科,1,更新于 今天
典雅站过年留守2000+超市夜班防损,6000-8000元,常州新北区,叮咚买菜,"白天有工作的，不要投递简历哦，不适合，这是长夜班。
夜班陈列员夜班陈列员夜班陈列员夜班陈列员夜班陈列员夜班陈列员
【本公司承诺】
此职位叮咚招聘，不收费无套路，薪资准时发，面试通过当天试岗专人带教，入职即购买商业险，全市就近安排！
本岗位属于纯夜班，主要负责夜间的仓库管理，接货，仓库内货物的盘点，晚间工作轻松自由，一个前置仓内只需要招2名左右夜班人员，如果有想上夜班并且不想像工厂那样流水线工作，并且想要挑战高薪的，尽快联系确定就近分配站点！
【福利待遇】
1、薪资待遇：基本工资+职级津贴+夜班补助，综合7000+
2、其他福利：带薪年假、工龄津贴、职级津贴、绩效奖金；
【职位描述】
1、负责整体站内商品的接入、入库；
2、负责站内整体安全工作的保障；
3、负责商品的及时清点处理、及一键入库；
4、做好和仓管员的承接工作及完成站长安排的相关工作；
年龄要求：18-40岁
晋升空间：仓管---店长---主管，最快的是1个月升级一次",学历不限,1,更新于 12月31日
城区车险电话销售,4000-8000元·13薪,晋城城区,阳光财产保险股份有限公司6,"【岗位要求】
1、主要负责维护续保老客户；
2、纯室内办公，公司下发客户，不需自己找客户源。
【薪资待遇】
8小时行政班，轻松高薪收入5000-8000元，上不封顶、五险一金，法定节假日休息，每月10号准时发工资不必为房贷、车贷担忧。免费培训，包学包会，工作期间跟进培训。",学历不限,1,更新于 12月31日
年前入职，年后带薪开工｜物业租售岗热招,6000-9000元,郑州金水区,康桥悦生活服务集团有限公司,"康桥物业租售中心，作为康桥物业旗下的重要业务板块，依托康桥强大的品牌影响力和丰富的物业资源，为客户提供专业、高效、贴心的房地产租售服务。现因业务拓展，诚招置业顾问：
岗位职责：
负责康桥物业项目及周边相关房源的租售工作，包括新房、二手房、车位储藏间等。
热情接待客户，了解客户需求，为客户提供专业的置业咨询和解决方案，匹配合适的房源并陪同看房。
负责房源的开发与维护，与业主保持良好沟通，及时掌握房源动态，确保房源信息的准确与更新。
积极拓展客户资源，通过线上线下渠道进行客户开发与邀约，提高客户到访量和成交量。
协助客户办理房屋租售的相关手续，如合同签署、贷款办理、过户等，提供一站式服务，确保交易顺利进行。
关注房地产市场动态，收集市场信息，为公司提供有价值的市场分析和建议。
任职要求：
高中及以上学历，房地产相关专业或有销售经验者优先。
具备良好的沟通表达能力和客户服务意识，能够与不同类型的客户进行有效的沟通和交流。
工作认真负责，有良好的职业道德和职业操守，诚实守信，无不良记录。
我们提供：
具有竞争力的薪酬待遇，高额提成 + 奖金，让你的努力得到丰厚的回报。
系统的培训课程，涵盖房地产专业知识、销售技巧、客户服务等方面，帮助你不断提升专业能力。
广阔的职业发展空间，公司注重人才培养和晋升，优秀的置业顾问有机会晋升为团队主管、区域经理等管理岗位。
良好的工作环境和团队氛围，与一群优秀的伙伴共同工作，享受工作的乐趣
【应聘方式】
招聘热v：HR-z2002
联系人：张女士",高中,3,更新于 12月17日
采购管培生,5000-10000元,临沂蒙阴县,禾丰食品股份有限公司,负责配合采购经理，制定采购计划、审核采购需求、决定合适的采购方式，责采购相关数据的收集、整理、分析等工作；,本科,1,更新于 12月17日
须本科！无销售！银行955热线客服,6000-12000元,南京浦口区,安徽泰盈信息科技有限公司,"1：本科毕业及以上学历（含自考本科）
2：无经验者学习能力强，足够自信、大方也可！
3：由银行派遣团队统一管理，优秀者可转银行正式编制！
4：不加班！不加班！！工作生活互不打扰。
5：五险一金，十三薪、生日补贴，慰问金，高温补贴，三节福利，春节慰问大礼包，年度体检、带薪年假、婚假、产假、护理假、哺乳假等各项福利齐全！",本科,10,更新于 12月17日
娱乐主播,6000-12000元,铜陵铜官区,抚顺领航者文化传媒有限公司,"宝妈主播招募
时间自由、能兼顾挣钱和照顾家庭
1、弹性开播：带娃事业两不误
2、全职保底：实力护航稳定收益
3、全程带教：从0到1全程陪跑成长
无论你是唱跳达人还是幽默风趣，开朗大方还是内向面瘫，总有适合你的赛道
有属于你的聚光灯，用你的努力创造价值，让每一次陪伴都成为家庭与梦想的双向奔赴！",学历不限,50,更新于 12月17日
onvo乐道-行销顾问（红河蒙自）,7000-12000元,红河蒙自市,上海蔚来汽车有限公司,"工作内容：
1、价值观建立：在日常工作中，践行蔚来价值观；
2、团队工作计划：根据销售策略目标，制定工作计划和目标分配，以确保完成订单目标；
3、销售达成：执行接待任务，将潜在用户转化为真正用户，完成销售并向客户交付车辆；
4、用户关系管理：维护现有乐道车主，定期跟进追踪会员，增强现有车主品牌粘性；
5、市场/用户开拓：开拓潜在客户，与市场同事合作，开展店外营销活动；不断创新、积极主动地吸引潜在用户；
职位要求：
1、高中及以上学历，持有C1驾照，驾驶技术熟练，过往无重大交通事故记录；
2、1-3年一线地推销售经验，行业包括但不限于互联网、金融保险、房产、快消、新能源汽车及上下游产业；
3、掌握成熟的陌拜技能，能在非固定场所与潜在用户快速建立信任关系；
4、良好的抗压能力及韧性，能够适应高频次户外作业与差旅工作；
5、强目标导向，能够在户外/嘈杂等各类非专业销售场景保持专业服务状态，擅长挖掘场景中的潜在销售机会；
6、热爱新能源汽车行业，具备一定的学习能力，实时更新产品知识库。
7、此岗位为第三方性质岗位。",高中,1,更新于 1月1日
