职位名称,薪资,工作地点,公司名称,任职要求,学历要求,招聘人数,发布时间
饲料销售（黑龙江区域）,7000-14000元,沈阳沈北新区,禾丰食品股份有限公司,"1.岗位职责：
①负责黑龙江区域市场反刍饲料的推广与销售工作；
②负责新客户的开发与老客户的维护；
③根据公司销售任务，完成饲料销售目标
2.任职要求：
①本科及以上学历，畜牧、动物医学、动物科学的相关专业；
②愿意长期从事饲料销售工作；
③乐于沟通，工作积极，有责任心
3. 薪酬&职位福利：
底薪+提成+各种补助；绩效奖金、六险一金、出差补贴、年度体检、节日福利等",本科,10,更新于 12月29日
急聘执业药师（就近分配）,4000-8000元,沈阳皇姑区,成大方圆,"岗位内容：
1. 根据患者需求，提供专业的用药建议，并协助完成处方审核、药品配制等操作。
2. 负责药品采购、收发、储存管理，确保药品质量和安全。
3. 组织开展药学服务活动，提升药学服务水平和客户满意度。
4. 协助门店其他工作，如其他卫生保健品的销售和宣传等。
任职要求：
1. 具备执业药师证书，有一定的药学相关工作经验。
2. 具备良好的沟通能力和服务意识，为患者提供优质的药学服务。
3. 工作认真、细致，有良好的团队合作精神，能够协助门店完成各项工作任务。
4. 具备较强的适应能力和自我学习能力，能够快速适应不同门店的工作环境和工作内容。
5.本科及以上学历。",本科,10,更新于 1月2日
续期服务文员,6000-8000元,长沙长沙县,中国人寿保险股份有限公司长沙市分公司北区收展营销服务部(星沙支部),专职负责续期保费的通知、追踪与台账管理。通过定期与续保客户接触，分析其保单状况，为顾问提供客户加保或保障检视的精准线索。,学历不限,1,更新于 12月30日
电梯维保员【江苏南京雨花台区】,5000-8000元,南京雨花台区,远大智能,"一、岗位职责：
1.负责现场电梯维修、保养，及时反馈现场存在问题，配合站长做好年检以及有偿维保工作；
2.填写好维修、保养、部件更换记录；
3.负责接收、检查新安装进入质保期的电梯工作。
二、岗位要求：
1.有无经验均可投递，技术积累丰富者可以聘任为工程师岗；
2.吃苦耐劳，安全意识强，了解电梯结构，能及时排除各种故障，熟练掌握专用量具和仪表的使用；
3.本次工作地点在：江苏省南京市江宁区与浦口区，其他片区就近分配维保工作地点，欢迎投递简历进行了解。
4.公司招聘电话为辽宁沈阳号，请勿拒接或拦截！",学历不限,2,更新于 12月27日
蜜雪集团总部安保,7000-8000元,郑州管城回族区,蜜雪冰城股份有限公司,"工作职责：
1.负责办公场所或重要物品的日常安全保卫，防范突发安全风险，及时制止违规、危险行为并按流程处置；
2.参与突发事件（如安全威胁、意外事故等）的现场处置，快速采取防护、疏散、救援等措施，降低风险损失；
3.按规定路线和频次开展巡逻，检查安全隐患（如消防设施、监控设备、出入口管控等），做好巡逻记录并及时上报问题；
4.维护指定区域的公共秩序，引导人员、车辆有序流动，处理简单的现场纠纷，保障环境安全有序；
5.协助公安、消防等部门开展安全检查、应急演练等工作；完成上级交办的其他安全保障相关临时任务。

任职要求：
1.高中（中专）及以上学历，退伍军人，警、体校毕业生,具备消防设施操作员证、急救证书等相关资质者优先；
2.身体健康，无重大疾病、纹身及不良嗜好，体能达标（如耐力、爆发力、应急反应能力符合安保工作要求）；
3.具备基础安全防护技能，熟悉消防器材使用、应急疏散流程、简单急救知识（如止血、心肺复苏）；
4.掌握监控设备操作、门禁系统管理、访客登记流程，能快速识别安全隐患；
5.具备一定的冲突化解能力，能冷静处理口角、肢体摩擦等突发情况，不激化矛盾。",高中,1,更新于 12月27日
海底捞高薪直招长期工、钟点工,4000-8000元,苏州工业园区,杭州捞派餐饮有限公司第三十九分公司,"一、【招聘岗位】
门迎、传菜员、后厨、保洁、洗碗工、水台等。
二、【职位要求】
1.学历不限；
2.身体状况符合国家餐饮行业要求；
3.无不良记录和嗜好。
三、【薪资标准】
海底捞全勤实行计件工资制，多劳多得，入职后门店根据岗位评定初、中、高级员工，包食宿（企业宣讲期间除外）
四、【正式工福利待遇】
1.正式员工入职经店经理审批同意后，报销家庭地址到工作地的硬座火车票及汽车票；工作满半年公司予以报销办理健康证费用；
2.正式员工可享受带薪年休假；
3.符合条件的员工（夫妻双职工、店经理等）可享有公司提供的住房补贴；
4.凡在公司工作满三年的员工其子女可享受 2000-5000 元/年不等的教育补贴；
5.大堂经理级别员工父母可享受 400 元/月的父母补贴；店经理级别父母可享受 1600 元/月的父母补贴；
6.员工本人和直系亲属在门店用餐享受5-8折优惠（高峰期、法定节假日等除外）；
7.上述福利待遇的享受条件和适用范围以公司福利制度为准。
五、【发展途径】（经竞聘考核后可入职）
途径一：服务员—服务/门迎担当--大堂/后堂/值班经理--店经理；
途径二：职能部门（人力资源部、信息科技部、会员运营部、公共事务部等）。
六、【注意事项】
面试需提供个人身份证原件或身份证明材料。",学历不限,15,更新于 12月27日
安踏导购（洛阳）,5000-8000元,洛阳偃师区,安踏体育用品集团有限公司,"1、主动接待顾客的咨询，了解顾客的需求，提供良好的顾客服务，妥善处理客户纠纷、客户投诉；
2、 负责商品的来货验货、商家陈列摆放、补货、退货、防损等日常营业工作；
3、负责做好货品销售记录、盘点、账目核对等工作，按规定完成各项销售统计工作；
4、做好所负责区域的卫生清洁工作；
5、照店铺工作流程操作到位；
6、完成上级领导交办的其他任务；
7、按照促销计划实施促销活动；
8、促销产品及赠品的设计、制作及发放管理。",学历不限,1,更新于 12月26日
厂家业务（异地）,6000-12000元,朝阳双塔区,辽宁金德建材销售有限公司,"工作职责与要求：
1、学历高中以及上学历，27周岁—40周岁；
2、有2年以上的销售工作经验（实体行业优先），能够独立开发和维护所辖区域市场；
3、根据区域市场进、销、存情况，指导经销商调整渠道策略；
4、行业渠道建设，渠道管理和渠道关系维护等工作；
5、开拓建立与维护地区市场的代理渠道；
6、负责针对大区内各市场、各合作商全年销售计划的制定，制定各种销售措施，确保达成目标；
7、对区域代理商经销商的销售人员进行培训；
8、身体健康，品行端正，能够适应长期驻点工作，服从总部的安排
9、退伍军人及有独立创业经历的人优先；
薪资待遇：
提供极具竞争力的薪资待遇：无责任底薪4000/月（前2个月5000）+开拓提成百分之5+奖金（15000-20000）",高中,1,更新于 12月26日
行政班！武汉东站/提供食宿8300,7000-12000元,武汉江夏区,泰盈科技集团股份有限公司武汉分公司,"接受跨行业和小白，有人教
工作详情：后台线上处理，登记核对信息，不用外出，空调房办公
薪酬福利：平均薪资不低于7000，综合7-12k，五险一金，带薪年假
有餐补提供住宿！宿舍距离上班地点10分钟，公寓式住宿，空调热水器齐全
工作时间：行政班次从不加班！无夜班！周末休， 法定全放，福利待遇好！
具体工作内容可以详情私聊了解。",学历不限,10,更新于 12月26日
青州海底捞餐饮招聘服务员门迎,5000-8000元,潍坊青州市,简阳市海捞餐饮管理有限公司开封第一分公司,"一、【招聘岗位】
服务员、门迎、传菜员、后厨、保洁、洗碗工等。
二、【职位要求】
1.学历不限；
2.身体状况符合国家餐饮行业要求；
3.无不良记录和嗜好。
三、【薪资标准】
青州海底捞全勤综合工资4500-8000元/月，实行计件工资制，多劳多得，入职后门店根据岗位评定初、中、高级员工，包食宿（企业宣讲期间除外）。
四、【正式工福利待遇】
1.正式员工入职经店经理审批同意后，报销家庭地址到工作地的硬座火车票及汽车票；工作满半年公司予以报销办理健康证费用；
2.正式员工可享受带薪年休假；
3.符合条件的员工（夫妻双职工、店经理等）可享有公司提供的住房补贴；
4.凡在公司工作满三年的员工其子女可享受 2000-5000 元/年不等的教育补贴；
5.大堂经理级别员工父母可享受 400 元/月的父母补贴；店经理级别父母可享受 1600 元/月的父母补贴；
6.正式员工可享受五险一金；
7.员工本人和直系亲属在门店用餐享受5-8折优惠（高峰期、法定节假日等除外）；
8.上述福利待遇的享受条件和适用范围以公司福利制度为准。
五、【发展途径】（经竞聘考核后可入职）
途径一：服务员—服务/门迎担当--大堂/后堂/值班经理--店经理；
途径二：职能部门（人力资源部、信息科技部、会员运营部、公共事务部等）。
六、【注意事项】
面试需提供个人身份证原件或身份证明材料。",学历不限,10,更新于 12月30日
